Score,Popularity,Rank,Members,Description,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating
7.87,4128,852,28,"Tang San is one of Tang Sect martial art clan's most prestigious disciples and peerless in the use of hidden weapons. With high expectations, the sect's elders believe his future will be bright; yet Tang chooses to forsake this life at the cost of obtaining the sect's forbidden lore—an action punishable by death. Tang, now content with his ascension of knowledge, sees no reason to keep on living and jumps from Hell's Peak, but little did he know that that would not be the end of his existence. 

In Douluo Continent, the strong prevail and the weak perish. Each person possesses an innate spirit, some of which can be cultivated and strengthened, bestowing its user with various benefits. Those who were born with such spirits can become Spirit Masters, a profession regarded as one of the continent's most noble.

Tang, reincarnated into this strange world, knows only the life of a blacksmith's son. At the age of six, he takes part in the Spirit Master ceremony, and discovers his spirit is Blue Silver Grass—supposedly the world's most useless spirit. In contrast, however, he possesses strong spirit power. Now, aided by the memories of his previous life as well, Tang's future as a Spirit Master is in no way bleak.

[Written by MAL Rewrite]","Combat Continent, Soul Land",斗罗大陆,,ONA,26,Finished Airing,"Jan 20, 2018 to Jul 14, 2018",,,Tencent Penguin Pictures,"None found, add some",Sparkly Key Animation Studio,Novel,"ActionAction, AdventureAdventure, FantasyFantasy, RomanceRomance",,20 min. per ep.,PG-13 - Teens 13 or older
7.87,3556,853,39,"Four months before Count von Lohengramm of the Galactic Empire faced Yang Wen-li of the Free Planets Alliance at the Battle of Astarte, he was still just Reinhard von Müsel. The youngest admiral in the Empire's history, Reinhard was disdained and dismissed by his peers as the brother of the Kaiser's concubine. 

Upon arriving at Iserlohn Fortress with his expeditionary fleet, Reinhard immediately receives an order from the ambitious and cunning Fleet Admiral Gregor von Mückenberger: to intercept an Alliance fleet in a neighboring starzone. Despite recognizing this as a veiled attempt to get him killed in combat, Reinhard nevertheless orders his tired and weary men to engage the enemy in the atmosphere of the gas giant Legnica. But unbeknownst to him, this will mark the first of his many historic encounters with the Hero of El Facil.

[Written by MAL Rewrite]","LoGH: My Conquest Is the Sea of Stars, Legend of the Galactic Heroes MOVIE (1988)",銀河英雄伝説: わが征くは星の大海,Legend of the Galactic Heroes: My Conquest is the Sea of Stars,Movie,1,Finished Airing,"Feb 6, 1988",,,"Artland, Madhouse, Kitty Films, Tokuma Shoten, Tokuma Japan Communications",Sentai Filmworks,Kitty Film Mitaka Studio,Novel,"ActionAction, Sci-FiSci-Fi",,59 min.,R+ - Mild Nudity
7.87,593,854,390,"Keima Katsuragi, the ""God of Conquest,"" returns to his quest of expelling runaway spirits that have possessed the hearts of women. Still stuck in his contract with the demon Elsie, he must continue to utilize the knowledge he has gained from mastering multitudes of dating simulators and chase out the phantoms that reside within by capturing the hearts of that which he hates most: three-dimensional girls.

However, the God of Conquest has his work cut out for him. From exorcising karate practitioners and student teachers to the arrival of Elsie's best friend from Hell, he is up against a wide array of girls that will test his wit and may even take him by surprise. Though he would much rather stick to the world of 2D, he is trapped in lousy reality, and so Keima must trudge forward in his conquest of love.

[Written by MAL Rewrite]","Kami nomi zo Shiru Sekai 2, Kaminomi II, The World God Only Knows 2",神のみぞ知るセカイ II,The World God Only Knows II,TV,12,Finished Airing,"Apr 12, 2011 to Jun 28, 2011",Spring 2011,Tuesdays at 01:30 (JST),"TV Tokyo, Geneon Universal Entertainment",Sentai Filmworks,Manglobe,Manga,"ComedyComedy, RomanceRomance, SupernaturalSupernatural",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older
7.87,3248,855,46,"On the planet Mercury, the advanced technology of cybernetic prostheses has led to the development of giant pilotable robots. However, prolonged use of these achievements in bioengineering takes a significant toll on a pilot's body. As the Merucians' mobile suits gain formidable power, fear rises among the people of Earth.

On her daughter Ericht's fourth birthday, pilot Elnora Samaya tests the state-of-the-art Gundam Lfrith under the watchful eye of its creator, Cardo Nabo. Ericht visits Elnora at work despite orders not to, and chaos unfolds after she forms a strange bond with her mother's mecha.

[Written by MAL Rewrite]",,機動戦士ガンダム 水星の魔女 PROLOGUE,Mobile Suit Gundam: The Witch from Mercury - Prologue,Special,1,Finished Airing,"Jul 14, 2022",,,"Sotsu, Mainichi Broadcasting System, Bandai Namco Filmworks","None found, add some",Sunrise,Original,"ActionAction, Sci-FiSci-Fi",,24 min.,R - 17+ (violence & profanity)
7.87,194,856,883,"Hitohito Tadano is an ordinary boy who heads into his first day of high school with a clear plan: to avoid trouble and do his best to blend in with others. Unfortunately, he fails right away when he takes the seat beside the school's  madonna—Shouko Komi. His peers now recognize him as someone to eliminate for a chance to sit next to the most beautiful girl in class.

Gorgeous and graceful with long, dark hair, Komi is universally adored and immensely popular despite her mysterious persona. However, unbeknownst to everyone, she has crippling anxiety and a communication disorder which prevents her from wholeheartedly socializing with her classmates.

When left alone in the classroom, a chain of events forces Komi to interact with Tadano through writing on the blackboard, as if in a one-way conversation. Being the first person to realize she cannot communicate properly, Tadano picks up the chalk and begins to write as well. He eventually discovers that Komi's goal is to make one hundred friends during her time in high school. To this end, he decides to lend her a helping hand, thus also becoming her first-ever friend.

[Written by MAL Rewrite]","Komi-san wa, Communication Shougai desu.",古見さんは、コミュ症です。,Komi Can't Communicate,TV,12,Finished Airing,"Oct 7, 2021 to Dec 23, 2021",Fall 2021,Thursdays at 00:00 (JST),"TV Tokyo, Dentsu, Shogakukan-Shueisha Productions, Half H.P Studio, Nippon Columbia","None found, add some",OLM,Manga,,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older
7.87,808,857,299,"After Mash Burnedead's clash with Magia Lupus, the secret about his powers is now out in the open. The short-lived celebration ends when the Bureau of Magic summons Mash before an audience of Divine Visionaries, who collectively decree Mash should reap the consequences and die. However, an evil shadow organization called Innocent Zero hijacks the inquiry to demand that Mash be kept alive.

Mash proves that he is capable of dealing with Innocent Zero, but the Divine Visionaries' verdict remains unchanged. Luckily, Mash finds unexpected allies in Divine Visionary Rayne Ames and Headmaster Wahlberg Baigan, and they successfully defer his execution until Innocent Zero is defeated. Mash is now allowed to live under one condition: he must be selected as the Divine Visionary candidate by the year's end.

[Written by MAL Rewrite]",Mashle 2nd Season,マッシュル-MASHLE- 神覚者候補選抜試験編,Mashle: Magic and Muscles - The Divine Visionary Candidate Exam Arc,TV,12,Finished Airing,"Jan 6, 2024 to Mar 30, 2024",Winter 2024,Saturdays at 23:30 (JST),"Aniplex, Shueisha, ADK, INSPION Edge","None found, add some",A-1 Pictures,Manga,"ActionAction, ComedyComedy, FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older
7.87,2540,858,72,"Conan Edogawa is facing a dilemma: Ran Mouri has asked Shinichi Kudou out to the movies and he is unable to provide a convincing excuse not to go. However, when the day of the date arrives, he has more pressing problems to worry about—a great amount of plastic explosives has recently been stolen and the culprit has challenged Shinichi to find and dispose of the bombs he has scattered across the city. Now forced in a race against time, Conan must not only protect the city, but also figure out who the mastermind is and his reason for confronting Shinichi.

[Written by MAL Rewrite]",Detective Conan Movie 01: The Timed Skyscraper,名探偵コナン 時計じかけの摩天楼,Case Closed Movie 01: The Time Bombed Skyscraper,Movie,1,Finished Airing,"Apr 19, 1997",,,"Shogakukan-Shueisha Productions, YTV",Funimation,TMS Entertainment,Manga,"AdventureAdventure, ComedyComedy, MysteryMystery",ShounenShounen,1 hr. 34 min.,PG-13 - Teens 13 or older
7.87,4176,859,28,"After spending his summer racing against some of the best racers in Gunma, Takumi Fujiwara receives a formal challenge from the leader of the Akagi Red Suns, Ryousuke Takahashi. Despite his initial reluctance to get into the hobby, Takumi cannot help but feel excited to go up against the former ""White Comet of Akagi."" In preparation for the battle, Ryousuke downgrades his car, putting his pride and racing career at stake. 

With the title of the fastest racer in all of Gunma on the line, will Takumi and his panda-colored Toyota AE86 be able to defeat Ryousuke's Mazda RX-7 FC? 

[Written by MAL Rewrite]",Shin Gekijouban Initial D: Legend 3 - Mugen,新劇場版 頭文字［イニシャル］D Legend3 -夢現-,Initial D Legend 3: Dream,Movie,1,Finished Airing,"Feb 6, 2016",,,"Shochiku, Kodansha, Ultra Super Pictures, Avex Pictures",Sentai Filmworks,"SANZIGEN, LIDENFILMS",Manga,,SeinenSeinen,1 hr.,PG-13 - Teens 13 or older
7.87,1373,860,171,"Traveling merchant Kraft Lawrence and wolf deity Holo sit down to have dinner with Norah Arendt, a young shepherdess who helped them smuggle gold. Holo's dislike of Norah—due to both the latter's profession and her closeness with Lawrence—prevents her from enjoying her meal.

When Holo falls ill from fatigue, she is cared for by Lawrence, who frets over the health of his dear companion. As she regains her strength, Holo reminisces about the adventures they had together.

[Written by MAL Rewrite]","Ookami to Koushinryou 2 OVA Episode 0, Spice and Wolf 2 OVA Episode 0, Spice and Wolf II OVA Episode 0, Spice and Wolf II: The Wolf and the Amber Melancholy",狼と香辛料II 狼と琥珀色の憂鬱,Spice and Wolf II: The Wolf and the Amber Melancholy,OVA,1,Finished Airing,"Apr 30, 2009",,,"None found, add some",Funimation,"Brain's Base, Marvy Jack",Light novel,"AdventureAdventure, FantasyFantasy, RomanceRomance",,23 min.,PG-13 - Teens 13 or older
7.87,5393,861,15,"After an embarrassing high school class reunion with their successful classmates, who have ""proper"" jobs, relationships, and even children, the Matsuno sextuplets return home to sulk about their status as NEETs. They spend the night drinking away their sorrows, eventually falling unconscious, until they awaken in a strange world of memories, centered around one of the brothers' biggest high school regret.

As the sextuplets navigate this memory world, they encounter their embarrassing past selves from high school, as well as those of their friends. All the while, they try to uncover whose regret was great enough to trap them in this strange world, so that they can make their way back to reality. However, they're running out of time; this world of memories is unstable, and the sextuplets may lose their chance to make things right if they're too slow....","Eiga no Osomatsu-san, Osomatsu-san the Movie",えいがのおそ松さん,Mr. Osomatsu the Movie,Movie,1,Finished Airing,"Mar 15, 2019",,,Shochiku,"None found, add some",Pierrot,Manga,,,1 hr. 48 min.,R - 17+ (violence & profanity)
7.87,636,862,369,"Widely regarded as a trailblazer and top-tier professional player in the online multiplayer game Glory, Ye Xiu is dubbed the ""Battle God"" for his skills and contributions to the game over the years. However, when forced to retire from the team and to leave his gaming career behind, he finds work at a nearby internet café. There, when Glory launches its tenth server, he throws himself into the game once more using a new character named ""Lord Grim.""

Ye Xiu's early achievements on the new server immediately catch the attention of many players, as well as the big guilds, leaving them to wonder about the identity of this exceptional player. However, while he possesses ten years of experience and in-depth knowledge, starting afresh with neither sponsors nor a team in a game that has changed over the years presents numerous challenges. Along with talented new comrades, Ye Xiu once again dedicates himself to traversing the path to Glory's summit!

[Written by MAL Rewrite]","Quan Zhi Gao Shou, Full-Time Expert, Expert of All Classes",全职高手,The King's Avatar,ONA,12,Finished Airing,"Apr 7, 2017 to Jun 16, 2017",,,"bilibili, Tencent Penguin Pictures, China Literature Limited","None found, add some",B.CMAY PICTURES,Web novel,,,23 min. per ep.,PG-13 - Teens 13 or older
7.86,144,863,1,"A fresh high school year always means much to come, and one of those things is joining a club. Being in a dilemma about which club to join, Yui Hirasawa stumbles upon and applies for the Light Music Club, which she misinterprets to be about playing simple instruments, such as castanets. Unable to play an instrument, she decides to visit to apologize and quit.

Meanwhile, the Light Music Club faces disbandment due to a lack of members. This causes the club members to offer anything, from food to slacking off during club time, in order to convince Yui to join. Despite their efforts, Yui insists on leaving due to her lack of musical experience. As a last resort, they play a piece for Yui, which sparks her fiery passion and finally convinces her to join the club.

From then onward, it is just plain messing around with bits and pieces of practice. The members of the Light Music Club are ready to make their time together a delightful one!

[Written by MAL Rewrite]","Keion, K-ON! Season 1",けいおん!,K-ON!,TV,13,Finished Airing,"Apr 3, 2009 to Jun 26, 2009",Spring 2009,Fridays at 01:59 (JST),"Pony Canyon, TBS, Movic, Rakuonsha, Animation Do","Bandai Entertainment, Sentai Filmworks",Kyoto Animation,4-koma manga,,,24 min. per ep.,PG-13 - Teens 13 or older
7.86,5496,864,14,"Layla is going to perform Phoenix in Broadway. Playing this important role, she sets out on a journey by bicycle alone without leaving any message in order to find out what she's missing inside.",Kaleido Star: Layla Hamilton Story,カレイドスター Legend of Phoenix ～レイラ・ハミルトン物語～,Kaleido Star: Legend of Phoenix - The Layla Hamilton Story,OVA,1,Finished Airing,"Dec 11, 2005",,,"HAL Film Maker, GDH, MediaNet",Funimation,Gonzo,Original,"ComedyComedy, DramaDrama",,50 min.,PG - Children
7.86,3899,865,32,"It is a cross over between the series Lupin III and Detective Conan and takes place after the television special Lupin the 3rd vs Detective Conan. The plot follows Conan Edogawa who sets out to apprehend Arsène Lupin III, the suspect of stealing a jewel called Cherry Sapphire.

(Souce: Wikipedia)","Rupan Sansei vs. Meitantei Conan: The Movie, Rupan Sansei vs Meitantei Conan (Movie)",ルパン三世vs.名探偵コナン THE MOVIE,Lupin III vs. Detective Conan: The Movie,Movie,1,Finished Airing,"Dec 7, 2013",,,"None found, add some",Discotek Media,TMS Entertainment,Manga,"ActionAction, ComedyComedy, MysteryMystery",ShounenShounen,1 hr. 48 min.,G - All Ages
7.86,1761,866,125,"Eight years after the mysterious death of his father, Kaito Kuroba, a slightly mischievous but otherwise ordinary teenager, discovers a shocking secret: the Phantom Thief Kaito Kid—also known as ""The Magician Under the Moonlight""—was none other than his own father. The former thief was murdered by a criminal organization seeking a mythical stone called the Pandora Gem, said to shed a tear with the passing of the Valley Comet that comes every ten thousand years. When the tear is consumed, the gem supposedly grants immortality.

Vowing to bring those responsible for his father's death to justice, Kaito dons the Phantom Thief's disguise, stealing priceless jewels night after night to find the Pandora Gem before his enemies can use the power for themselves.

[Written by MAL Rewrite]",Magic Kaito 2014,まじっく快斗1412,,TV,24,Finished Airing,"Oct 4, 2014 to Mar 28, 2015",Fall 2014,Saturdays at 17:30 (JST),"Aniplex, Yomiuri Telecasting, DAX Production","None found, add some",A-1 Pictures,Manga,"AdventureAdventure, ComedyComedy, RomanceRomance",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older
7.86,4005,867,31,"In the film's story, there is a sudden explosion at Tokyo Summit's giant Edge of Ocean facility. The shadow of Tooru Amuro, who works for the National Police Agency Security Bureau as Zero, appears at the site. In addition, the ""triple-face"" character is known as Rei Furuya as a detective and Kogorou Mouri's apprentice, and he is also known as Bourbon as a Black Organization member. Kogorou is arrested as a suspect in the case of the explosion. Conan conducts an investigation to prove Kogorou's innocence, but Amuro gets in his way.

(Source: ANN)",Detective Conan Movie 22: Zero's Executioner,劇場版 名探偵コナン ゼロの執行人,Case Closed Movie 22: Zero the Enforcer,Movie,1,Finished Airing,"Apr 13, 2018",,,"Yomiuri Telecasting, TOHO, Nippon Television Network, Shogakukan",Discotek Media,TMS Entertainment,Manga,"ActionAction, Award WinningAward Winning, DramaDrama, MysteryMystery",,1 hr. 50 min.,PG-13 - Teens 13 or older
7.86,4085,868,29,"The world's greatest blue sapphire, the ""blue lapis fist"", said to have sunk in a pirate ship in the late 19th century, on the coasts of Singapore. A local millionaire plots to retrieve it, and when it's exhibited in an exhibition at the Singaporean Marina Sands hotel, a murder takes place. A bloody Kaitou Kid announcement card is found in the crime scene.

In the meantime, Ran and Sonoko have come to Singapore to see a karate tournament held there. Conan, who doesn't have a passport and can't travel overseas, was supposed to stay at home. But Kid, who wants to make use of him, uses a magical trick to forcibly drag him to Singapore. Conan must obey Kid if he wants to get back to Japan, gets his glasses, wristwatch and clothes, amongst others, all stolen from him and he has to disguise himself.

Ran, who doesn't realize who he is, asks him his name and he improvises the name Arthur Hirai. Kid eventually gets a hold of information about the ""fist"" being stored in a manor's underground vault. Just when he was thinking that he'd made it inside very easily, he finds a dangerous trap awaiting him. Facing him is the strongest karateka with 400 consecutive victories: Makoto Kyogoku.

(Source: Detective Conan World)",,劇場版 名探偵コナン 紺青の拳（フィスト）,Case Closed Movie 23: The Fist of Blue Sapphire,Movie,1,Finished Airing,"Apr 12, 2019",,,"Shogakukan-Shueisha Productions, Yomiuri Telecasting, Nippon Television Network",Discotek Media,TMS Entertainment,Manga,"ActionAction, ComedyComedy, DramaDrama, MysteryMystery",ShounenShounen,1 hr. 49 min.,PG-13 - Teens 13 or older
7.86,3121,869,49,"Life in rural Asahigaoka moves at its own pace. Devoid of the pleasures and worries of a bustling metropolis, this small village might seem painfully dull at first glance. However, despite living this far from her hometown of Tokyo, Hotaru Ichijou manages to find a group of friends whom she can spend quality time with. No matter whether it is winter, spring, summer, or fall, they make full use of everything the nature around them has to offer.

[Written by MAL Rewrite]",Non Non Biyori Repeat OVA,のんのんびより りぴーと 蛍が楽しんだ,Non Non Biyori Repeat: Hotaru Had Fun,OVA,1,Finished Airing,"Sep 23, 2016",,,"None found, add some","None found, add some",SILVER LINK.,Manga,,SeinenSeinen,24 min.,PG-13 - Teens 13 or older
7.86,3445,870,41,"The words that Gold Roger, the King of the Pirates, uttered just before his death excited the masses and the world has entered a Great Pirate Era! There is a group of young pirates who are about to set sail on the Grand Line. Monkey D. Luffy, a rubber man. Roronoa Zoro aka “Pirate Hunter.” Usopp, a sniper. Sanji, a seafaring cook. And “Cat Burglar” Nami. They, the Straw Hats, all place a foot upon a barrel and make their vows before their next journey across the great ocean. Luffy shouts “In order to be the King of the Pirates!” A decade ago in the Windmill Village... A little boy Luffy was enthralled with a pirate boss Red-Haired Shanks. But a group of mountain bandits shows up and makes fun of the pirates. “Why didn't you fight them?!” Luffy yells out angrily but Shanks says that it's nothing worth getting mad over. At that time, Luffy snatches the Gum-Gum Fruit from a treasure box and eats it and as a result, his entire body becomes rubber and he loses the ability to swim for the rest of his life! A few days later, Luffy is surrounded by the mountain bandits again and Shanks comes to help. “No matter what the reason, anyone who hurts my friends has to pay!!” Shanks and his pirate crew are incredibly strong and they beat down the mountain bandits. Higuma, the head of the mountain bandits, runs away kidnapping Luffy and heads for the sea. However, they encounter a local Sea Monster there and are attacked. Luffy is in a desperate situation... But again, Shanks saves the day. He outstares the Sea Monster and chases it away but in exchange, he loses his left arm... When Shanks leaves the village, he leaves his straw hat with Luffy. “Come bring it back to me someday! Once you've become a great pirate!” 10 years later, Luffy has grown up strong and he sets out for an adventure on a small boat. He again encounters the local Sea Monster for that fateful day. However, Luffy takes it down with a single blow of Gum-Gum Pistol. Luffy’s journey to become the King of the Pirates now begins!

(Source: Crunchyroll)",,ワンピース エピソードオブ東の海[イーストブルー] ~ルフィと4人の仲間の大冒険~,One Piece: Episode of East Blue - Luffy and His Four Crewmates' Great Adventure,TV Special,1,Finished Airing,"Aug 26, 2017",,,"None found, add some",Funimation,Toei Animation,Manga,"ActionAction, AdventureAdventure, FantasyFantasy",ShounenShounen,1 hr. 46 min.,PG-13 - Teens 13 or older
7.86,1068,871,227,"On her way home from school, Yukari Hayasaka is approached by a weird-looking guy who starts looking at her body intently. He's got blond spiky hair, a spiked choker, and multiple piercings on his ears and face. She wants nothing to do with him, and runs away, only to bump into a very tall and beautiful purple-haired woman with a flower pattern around her eye. Yukari faints from shock and wakes up later in a strange place called the Atelier. It turns out that these strangers are fashion designers who attend the most famous art school around, Yazawa Art Academy, and their group wants Yukari to model for their brand in Yazawa Academy's upcoming show.

Yukari turns down their offer and escapes the Atelier, but unknowingly leaves her school ID behind. George Koizumi, the head designer, later sees it and immediately knows she would be the perfect model for them and will not stop until he gets what he wants—and he wants her. Yukari had never considered something as frivolous as modeling before, but could life among these eccentric designers actually prove to be fun? Or will Yukari lose herself in this world of art and passion?

[Written by MAL Rewrite]
",ParaKiss,Paradise kiss,Paradise Kiss,TV,12,Finished Airing,"Oct 14, 2005 to Dec 30, 2005",Fall 2005,Fridays at 00:35 (JST),"Aniplex, Dentsu, Fuji TV, Shodensha",Geneon Entertainment USA,Madhouse,Manga,"DramaDrama, RomanceRomance",JoseiJosei,24 min. per ep.,R - 17+ (violence & profanity)
7.86,2573,872,71,"Two OVA episodes featuring additional stories. 

Episode 0: Ritsu and Takano used to date back in high school, but broke up due to a misunderstanding. This is that story. 

Episode 12.5: Hatori and Chiaki go to visit the latter's family. It's really awkward in many, many ways. ","Sekaiichi Hatsukoi Episode 0, Sekai-ichi Hatsukoi: Onodera Ritsu no Baai, Sekaiichi Hatsukoi Episode 12.5, Sekaiichi Hatsukoi: Yoshino Chiaki no Baai, Sekai'ichi Hatsukoi",世界一初恋 OVA,,OVA,2,Finished Airing,"Mar 22, 2011 to Sep 27, 2011",,,Kadokawa Shoten,Funimation,Studio Deen,Manga,,,21 min. per ep.,PG-13 - Teens 13 or older
7.86,1295,873,184,"At the request of his father, tennis prodigy Ryouma Echizen has returned from America and is ready to take the Japanese tennis scene by storm. Aiming to become the best tennis player in the country, he enrolls in Seishun Academy—home to one of the best middle school tennis teams in Japan. 

After Ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age, the rest of the Seishun Boys' Tennis Team are initially reluctant to accept him, but his skill and determination convinces them to let him in.

Armed with their new ""super rookie,"" Seishun sets out to claim a spot in the National Tournament, hoping to take the coveted title for themselves. In order to do so, the team must qualify by playing through the Tokyo Prefectural and Kanto Regionals. Yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. Ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be.

[Written by MAL Rewrite]","TeniPuri, PoT",テニスの王子様,The Prince of Tennis,TV,178,Finished Airing,"Oct 10, 2001 to Mar 23, 2005",Fall 2001,Wednesdays at 19:00 (JST),"Production I.G, Nihon Ad Systems","Funimation, VIZ Media",Trans Arts,Manga,,ShounenShounen,22 min. per ep.,PG-13 - Teens 13 or older
7.86,104,874,1,"On the surface, Koudo Ikusei Senior High School is a utopia. The students enjoy an unparalleled amount of freedom, and it is ranked highly in Japan. However, the reality is less than ideal. Four classes, A through D, are ranked in order of merit, and only the top classes receive favorable treatment.

Kiyotaka Ayanokouji is a student of Class D, where the school dumps its worst. There he meets the unsociable Suzune Horikita, who believes she was placed in Class D by mistake and desires to climb all the way to Class A, and the seemingly amicable class idol Kikyou Kushida, whose aim is to make as many friends as possible.

While class membership is permanent, class rankings are not; students in lower ranked classes can rise in rankings if they score better than those in the top ones. Additionally, in Class D, there are no bars on what methods can be used to get ahead. In this cutthroat school, can they prevail against the odds and reach the top?

[Written by MAL Rewrite]","Welcome to the Classroom of the Elite, You-jitsu",ようこそ実力至上主義の教室へ,Classroom of the Elite,TV,12,Finished Airing,"Jul 12, 2017 to Sep 27, 2017",Summer 2017,Wednesdays at 23:30 (JST),"Studio Hibari, Lantis, AT-X, Sony Music Communications, Toranoana, Crunchyroll, Kadokawa Media House, Kadokawa, AKABEiSOFT2",Funimation,Lerche,Light novel,"DramaDrama, SuspenseSuspense",,24 min. per ep.,PG-13 - Teens 13 or older
7.86,2339,875,83,"Aside from her deep passion for eating cakes, the clumsy Ichigo Amano has never been successful at anything.  After an encounter with Henri Lucas, a famous patissier, Ichigo's amazing tasting abilities—although unbeknownst to her—are discovered.  Recognizing her talent, Henri offers her the chance to attend St. Marie Academy, a prestigious culinary school which specializes in desserts.

In spite of the fact that she is a beginner lacking skills, thanks to Henri's recommendation, Ichigo is placed in the topmost group with the ""Sweets Princes."" The princes, famous throughout the school for their magical treats, are Sennosuke Andou, an expert in traditional Japanese sweets; Satsuki Hanabusa, with a flair for candied flowers; and Makoto Kashino, a gifted chocolatier. Ichigo and the Sweets Princes, each accompanied by their ""Sweets Spirits""—fairies who make patissiers' dreams come true—all work towards their goals in the competitive world of sweets.

[Written by MAL Rewrite]","Yumeiro Patissiere, YumePati, Dream-Colored Pastry Chef, Yumeiro Pâtissière",夢色パティシエール,,TV,50,Finished Airing,"Oct 4, 2009 to Sep 26, 2010",Fall 2009,Unknown,"Pierrot, Yomiuri Telecasting, DAX Production, Shueisha",Maiden Japan,Studio Hibari,Manga,,ShoujoShoujo,24 min. per ep.,G - All Ages
7.86,7,876,3,"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual.

Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor!

Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.

[Written by MAL Rewrite]",,僕のヒーローアカデミア,My Hero Academia,TV,13,Finished Airing,"Apr 3, 2016 to Jun 26, 2016",Spring 2016,Sundays at 17:00 (JST),"Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha",Funimation,Bones,Manga,,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older
7.86,2025,877,104,"To the casual eye, the amnesiac bounty hunter Wu Liuqi looks quite intimidating. With his deadly telekinetic scissor techniques and his ability to seamlessly transform into anything, one would not expect his modest demeanor. In fact, Wu is quite terrible at his job. Often times the freelancer can be found botching an assassination or targeting the wrong person. While his failures could be due to his subpar skills, it usually boils down to him being a normal kid, with a heart unsuited for his line of work.

Accompanied by his feathered friend Dai Bo, Wu is on a simple quest to regain his memories. Although his inconspicuous day job as a hairdresser and his after-hours occupation are simply a means for him to repay debt, his various ventures seem to intertwine with his pursuit to recover his lost past.

[Written by MAL Rewrite]
","Cike Wuliuqi, Ci Ke Wu Liu Qi, Assassin Seven, Killer Seven",刺客伍六七,Scissor Seven,ONA,10,Finished Airing,"Apr 25, 2018 to Jun 20, 2018",,,"None found, add some","None found, add some","Sharefun Studio, AHA Entertainment",Original,"ActionAction, ComedyComedy, DramaDrama, MysteryMystery, RomanceRomance",,14 min. per ep.,PG-13 - Teens 13 or older
7.86,2178,878,93,"Haruka Nanase and Makoto Tachibana have started middle school and must adjust to the changes that come along with growing up. While Makoto fits in with his classmates and remains positive about swimming, Haruka struggles to befriend others or join his school's swim club, as his previous issues with swimming trouble him. Distancing himself from his lively classmates and the swimming club, he has difficulty deciding which club to join instead. The rest of his classmates, including Makoto, are also hesitant as to which clubs to participate in. After an argument leads them to join the swimming club anyway, the boys strive to hone their skills, harmonize their swimming styles, and refine their conflicting feelings toward swimming and each other.

As determination and talent run high, Haruka and Makoto—along with their classmates—discover themselves and improve their talents during their starting days.

[Written by MAL Rewrite]","Free! Movie, High☆Speed!: Free! Starting Days",映画 ハイ☆スピード！ -Free! Starting Days-,Free! Starting Days,Movie,1,Finished Airing,"Dec 5, 2015",,,"Shochiku, Asahi Broadcasting, I Will",Funimation,Kyoto Animation,Light novel,"DramaDrama, SportsSports",,1 hr. 50 min.,PG-13 - Teens 13 or older
7.86,6455,879,9,"A major incident in peaceful Skyland?! The infant princess Ellee-chan has been kidnapped by a monster from the Undergu Empire! A brave girl named Sora follows the princess into a strange hole. It leads her to another world called Sorashido City. Televisions? Bicycles? Are these magical devices?!?! There's no time to be surprised! Sora has to take the princess back to the castle as soon as possible! Flying between two worlds! This is the beginning of a Precure adventure! It's hero time!

(Source: Toei Animation USA)",,ひろがるスカイ！プリキュア,Soaring Sky! Pretty Cure,TV,50,Finished Airing,"Feb 5, 2023 to Jan 28, 2024",Winter 2023,Sundays at 08:30 (JST),"ABC Animation, ADK Emotions","None found, add some",Toei Animation,Original,"ActionAction, FantasyFantasy",,24 min. per ep.,G - All Ages
